object_id,sorting_date,art_series_id,target
002bff09b09998d0be65,1631,509357f67692a6a45626,1
00309fb1ef05416f9c1f,1900,7987b47bbe5dc3039179,3
003a1562e97f79ba96dc,1834,ded7c3c9636708e5b14c,3
004890880e8e7431147b,1743,582ac2d7f0cef195b605,2
00718c32602425f504c1,1885,64c907f0c08dce4fb8e8,3
007c091616828798b5e1,1839,e9440b5eb4b77f1ce0e3,3
007f5e3620b458d77212,1640,b869fd8334a3a591084e,1
00990614b43285e49f4a,1893,8134b18cdc27af23e1a8,3
00bf812ffe8a62d45661,1720,3bfd41016d864e3fd8b5,2
00c93e990e799fb3d8c9,1775,2d29062fe2b09738757b,2
00cddf1a88c0f4261c23,1788,c0e85d719896de3ba34c,2
00db4ef4b89904547a77,1700,0f7b6518715282cc8167,1
0107b9f04001d7ff0ab1,1775,92f048494049b8e2567c,2
0108b38da16211245fcd,1785,1ef9cc797fb36b5020c5,2
0110115b8b6036d9ab3c,1741,baa4a20f0372d74dfc80,2
0121f480c5c72e439d90,1873,0bde2c9ecc955264e7c6,3
01273c00c46a84c50468,1757,51024cb4c6256ccce827,2
014aeddb13099b8755ad,1788,749b04a27a3ca85e41f7,2
014ea91de4356495caf4,1760,6da83ad7da10d3c88493,2
0160840d9a4620b08fbd,1874,a56504999a8157a25d16,3
01622192fd7018e5f603,1733,1119ab8f0aa0cb2225f2,2
0169c493b09c8758a1b3,1734,550c62dd363fea62581c,2
01747cd378d136cda3f5,1660,44e39aaef72000a0db68,1
0196a7a69614537b4a4d,1779,69fb8c495533cfee1878,2
01b69e2e13b0c1a47770,1834,518a10eb680a915b56eb,3
01d01b60ada5cc2a4bc0,1590,cc6f00a3d3c606451f46,0
01eac8083dcc36ec0c90,1874,f326ccccc1a45b158a82,3
0208ea77bba20bcf088d,1816,fba4c52e639f38859a41,3
021a75234b41477e605e,1658,8000b1ab105ade1f4664,1
02240a6096357c27079b,1813,feb17e387c12691832e8,3
0232a177f5d0870c9bb6,1600,3c2af30ad8a6446db6aa,0
02347217e42a82dd5d64,1510,8178729f770efe39b84b,0
0235b23209bb62eee8ca,1900,969adb00bf6e5fd4bda4,3
0237bf04435faa790faa,1679,33fa2e1df4b80587b0c7,1
02383711d499beba7f8d,1709,252a262de30b22d174b9,2
0242a764d44ccd2ea098,1633,607c22f5e66e8d50a298,1
024e37a5663372462af2,1729,9564c0a61537eb7288be,2
025960c154684aac4d2c,1619,8b9b8fd10e8f61e7a38f,1
025d2d78399c3dbbc317,1848,6fb734ceff36fe2184b5,3
026c9e8c431aa8b4703e,1750,c43411036d16ec4960f3,2
0288e2bb5b668275b31a,1683,30dcc04b8e3a5640a9f3,1
028921de3fceac877982,1848,c75a440b0fe3caef44bd,3
029b379f6fd40f8c43f7,1685,32c6aae26a4f0ab550f2,1
02aac7873558755d9c27,1701,505d74eddec34b2df717,2
02d9cfd12db0ea6d0a98,1677,fcd748003bfc7483d892,1
031455e56addd1f8e234,1708,12212006c350628297c0,2
0322260034b846770e76,1570,fed9f9aec5b6e53e0e0d,0
034317991e96512dfce5,1838,6a123dfc57df6bbe6207,3
0347f6b96f5828f1654f,1881,b4e01139ea264a006192,3
034b6407fcde7869be55,1692,7caa7a6fab31c39236c4,1
035637e38849286ef474,1766,efad8e03fa9a9e510e5a,2
039563f80341717b2c1f,1828,f0a279ec7fc57f003d19,3
03a7b62ba0db1e38d337,1600,25db5523a78b4658d2ac,0
03ae4e80cd02ece452f4,1846,442e242bf252708f287d,3
03b913061ed3336a0ed5,1620,39d5e6afd09818098b99,1
03c07a996cd04d9a4847,1771,2bc3e16ed7b551057fce,2
03c39dbb0b4361145927,1708,3351b506dd5c5a412e43,2
03c9d0e5d3e5ba08594e,1852,a5966d53b77881d627bb,3
04008940e45fffa7e4db,1651,b6b78901c8b086e2a914,1
042cb252565a596c7791,1841,bde12dce6ba66634b1ec,3
043a8e8abd3acf825022,1773,6634a099bbf3ee9ce279,2
044fcbcb797db4354227,1745,9272934b5ec50ecbd6a6,2
0454428950a934e2361c,1741,a2c77db9820382123b03,2
0456f5e0f4ff717cb80a,1654,28c1f3ee94bc3c4757ab,1
046e5c8292c42700ef69,1853,9d65532fca15b3e478d1,3
04855ac541a9bd59cf72,1767,44516bba9b2d19825481,2
04899bd98c6d9ad87642,1935,3ac170fc972f65c5703c,3
