id,loss
250000,8.149759095636506
250001,4.481217322167632
250002,8.298442404685831
250003,7.5291819028022475
250004,6.902136608287485
250005,9.147246291033113
250006,9.738288051591947
250007,6.063474027600598
250008,7.216666907258444
250009,7.872511978007038
250010,5.2340717515715625
250011,6.705152597849623
250012,5.80914052215136
250013,6.095424152375445
250014,9.721830512212893
250015,4.376886924217434
250016,6.887934148868235
250017,7.206249020172703
250018,5.505290339024576
250019,5.5609941051594705
250020,7.707237977074643
250021,7.781236646027317
250022,7.100418389767986
250023,7.5283363611961205
250024,5.457882550227116
250025,8.023683299287786
250026,8.014782078226869
250027,5.452938370772929
250028,7.5083301388881925
250029,7.376097805047381
250030,6.496810133974689
250031,6.852956665306339
250032,5.6616875137727
250033,5.206202520198953
250034,7.678578726182094
250035,7.930042159283717
250036,6.904360345263308
250037,8.52185213078018
250038,6.084442117154209
250039,6.0730759098751035
250040,7.81341807731688
250041,6.073614833972587
250042,7.158776131675704
250043,8.177446194937172
250044,5.6045231091821845
250045,7.089206253497602
250046,7.0390074614515985
250047,6.540116727026986
250048,8.84632272339981
250049,5.497936688260813
250050,6.6727476140560595
250051,8.067510240826385
250052,7.4175031053321785
250053,7.123054999747859
250054,4.610239305997059
250055,7.348384989995507
250056,6.44433340064027
250057,7.341206263411118
250058,8.044096530474501
250059,7.345181879385715
250060,6.463720628465571
250061,7.0633043480035695
250062,6.246631379431197
250063,6.694686216467659
250064,6.20307786913399
250065,4.437370957063678
250066,5.586093646879654
250067,5.1211743525556574
250068,6.932484391453134
250069,4.92671573056109
250070,5.829649310097958
250071,5.85306282091369
250072,8.503808525516458
250073,5.739752966928087
250074,7.088397269533639
250075,5.933558256480434
250076,6.638531953077954
250077,4.034123940869716
250078,5.259129188976864
250079,5.475570567064937
250080,6.008531188453003
250081,9.920718053991425
250082,10.061424770654082
250083,7.000841799005438
250084,7.171903884843028
250085,8.053915245990357
250086,7.295930511356531
250087,6.519153588159243
250088,5.028419767573306
250089,8.008872521481013
250090,6.983012450030661
250091,6.837208392832322
250092,7.2475136948093635
250093,7.9633486563092095
250094,7.4723693024824716
250095,5.939660838793763
250096,5.827198239944195
250097,8.724952324546127
250098,6.092380845024678
250099,4.856932779749636
250100,4.9894917943141355
