id,loss
250000,7.578495255682516
250001,4.7837774901501735
250002,7.503851877736162
250003,7.395839227640728
250004,7.6079572948697916
250005,8.93099105410644
250006,9.368407908893412
250007,6.0837799350700195
250008,6.983754864535362
250009,7.61044371618636
250010,5.542907207462095
250011,6.623674905814062
250012,6.053819469255682
250013,6.092062976287975
250014,9.340562910460086
250015,5.486031921892227
250016,6.956674579192631
250017,6.949031396657195
250018,5.591473309063845
250019,5.980328130763553
250020,7.226213872395604
250021,7.389110860639823
250022,7.0211797534447795
250023,7.321954546897111
250024,5.767545951667431
250025,7.448269457682118
250026,8.27526409032805
250027,5.726401741471486
250028,7.2545622980708755
250029,7.259373772005965
250030,6.563310999962473
250031,7.158660553250373
250032,5.8549655800482485
250033,5.494736881552635
250034,8.114063998188588
250035,7.551084728519826
250036,6.94837734782599
250037,8.256953027774319
250038,5.891257992327492
250039,6.33269428458668
250040,7.698752949353505
250041,6.379946318608656
250042,7.035752717166057
250043,8.310250535319753
250044,6.092829626110739
250045,7.276509841265587
250046,7.026323859226348
250047,6.556900270615921
250048,8.862930557136984
250049,5.677479359715132
250050,6.565417979832389
250051,7.983279270715782
250052,7.713357053114979
250053,7.473954939834968
250054,4.857540686089945
250055,6.919991818404876
250056,6.833953748893887
250057,7.6185760060638446
250058,7.527512236921872
250059,7.270847121760376
250060,6.417345061703687
250061,7.187087618648052
250062,6.535383929797717
250063,6.743358991158828
250064,6.4808792343022406
250065,4.850500769027576
250066,5.537530087829153
250067,5.264758210519673
250068,6.658884406187184
250069,5.142512358716562
250070,5.79601163109656
250071,5.673853991035797
250072,7.619443720827153
250073,6.0861339493747515
250074,7.038120073682771
250075,6.13850713108136
250076,7.218723672464782
250077,4.496256887457891
250078,5.407313429548861
250079,6.120713775305065
250080,6.180899441338729
250081,8.693287010064394
250082,9.59539820218502
250083,7.06919571479001
250084,6.708112052939538
250085,7.971295344214427
250086,7.126984958132774
250087,6.7237929792181585
250088,5.115474317853156
250089,7.584354847907218
250090,6.660135016877714
